30.09.2021 13:27:00.068 [main] INFO   c.database.DataBase - Connection to data base successful
30.09.2021 13:27:00.316 [main] DEBUG  o.e.j.u.c.ContainerLifeCycle - o.e.j.s.h.ContextHandler@23529fee{/owner,null,STOPPED} added {OwnerHandler@60dcc9fe{STOPPED},MANAGED}
30.09.2021 13:27:00.348 [main] DEBUG  o.e.j.s.h.ContextHandlerCollection - AT@65d6b83b{cs=true;c=6;owner=/owner=[Lorg.eclipse.jetty.server.handler.ContextHandlerCollection$Branch;@61dd025}
30.09.2021 13:27:00.428 [main] DEBUG  o.e.j.u.c.ContainerLifeCycle - ContextHandlerCollection@4df50bcc{STOPPED} added {o.e.j.s.h.ContextHandler@23529fee{/owner,null,STOPPED},AUTO}
30.09.2021 13:27:00.433 [main] DEBUG  o.e.j.u.c.ContainerLifeCycle - o.e.j.s.h.ContextHandler@63a65a25{/shop,null,STOPPED} added {ShopHandler@54c562f7{STOPPED},MANAGED}
30.09.2021 13:27:00.434 [main] DEBUG  o.e.j.s.h.ContextHandlerCollection - AT@318ba8c8{cs=true;c=10;owner=/owner=[Lorg.eclipse.jetty.server.handler.ContextHandlerCollection$Branch;@6dbb137d,shop=/shop=[Lorg.eclipse.jetty.server.handler.ContextHandlerCollection$Branch;@3c9d0b9d}
30.09.2021 13:27:00.441 [main] DEBUG  o.e.j.u.c.ContainerLifeCycle - ContextHandlerCollection@4df50bcc{STOPPED} added {o.e.j.s.h.ContextHandler@63a65a25{/shop,null,STOPPED},AUTO}
30.09.2021 13:27:00.443 [main] DEBUG  o.e.j.u.c.ContainerLifeCycle - o.e.j.s.h.ContextHandler@2f112965{/card,null,STOPPED} added {CardHandler@1a04f701{STOPPED},MANAGED}
30.09.2021 13:27:00.468 [main] DEBUG  o.e.j.s.h.ContextHandlerCollection - AT@4e91d63f{cs=true;c=14;owner=/owner=[Lorg.eclipse.jetty.server.handler.ContextHandlerCollection$Branch;@d4342c2,shop=/shop=[Lorg.eclipse.jetty.server.handler.ContextHandlerCollection$Branch;@2bbf180e,card=/card=[Lorg.eclipse.jetty.server.handler.ContextHandlerCollection$Branch;@163e4e87}
30.09.2021 13:27:00.470 [main] DEBUG  o.e.j.u.c.ContainerLifeCycle - ContextHandlerCollection@4df50bcc{STOPPED} added {o.e.j.s.h.ContextHandler@2f112965{/card,null,STOPPED},AUTO}
30.09.2021 13:27:00.475 [main] DEBUG  o.e.j.u.c.ContainerLifeCycle - o.e.j.s.h.ContextHandler@769e7ee8{/code,null,STOPPED} added {CodeHandler@5276e6b0{STOPPED},MANAGED}
30.09.2021 13:27:00.477 [main] DEBUG  o.e.j.s.h.ContextHandlerCollection - AT@71b1176b{cs=true;c=17;owner=/owner=[Lorg.eclipse.jetty.server.handler.ContextHandlerCollection$Branch;@6193932a,code=/code=[Lorg.eclipse.jetty.server.handler.ContextHandlerCollection$Branch;@647fd8ce,shop=/shop=[Lorg.eclipse.jetty.server.handler.ContextHandlerCollection$Branch;@159f197,card=/card=[Lorg.eclipse.jetty.server.handler.ContextHandlerCollection$Branch;@78aab498}
30.09.2021 13:27:00.478 [main] DEBUG  o.e.j.u.c.ContainerLifeCycle - ContextHandlerCollection@4df50bcc{STOPPED} added {o.e.j.s.h.ContextHandler@769e7ee8{/code,null,STOPPED},AUTO}
30.09.2021 13:27:00.478 [main] DEBUG  o.e.j.u.c.ContainerLifeCycle - HandlerCollection@5dd6264{STOPPED} added {ContextHandlerCollection@4df50bcc{STOPPED},AUTO}
30.09.2021 13:27:00.479 [main] DEBUG  o.e.j.u.c.ContainerLifeCycle - HandlerCollection@5dd6264{STOPPED} added {LoggingHandler@51e5fc98{STOPPED},AUTO}
30.09.2021 13:27:00.518 [main] DEBUG  o.e.j.u.c.ContainerLifeCycle - QueuedThreadPool[qtp2035070981]@794cb805{STOPPED,8<=0<=200,i=0,r=-1,q=0}[NO_TRY] added {org.eclipse.jetty.util.thread.ThreadPoolBudget@149e0f5d,POJO}
30.09.2021 13:27:00.519 [main] DEBUG  o.e.j.u.c.ContainerLifeCycle - Server@1b1473ab{STOPPED}[11.0.6,sto=0] added {QueuedThreadPool[qtp2035070981]@794cb805{STOPPED,8<=0<=200,i=0,r=-1,q=0}[NO_TRY],AUTO}
